Signal Name,Type,Type Explanation,Detailed description
sender_known_malicious,bool,"1(malicious), 0(non-malicious)",Indicates whether the sender's email address is already flagged in internal or external threat intelligence feeds. Helps in fast identification and blocking of known bad actors without requiring additional analysis.
sender_domain_reputation_score,float,"1(Good Reputation), 0(Bad Reputation ) 
Any value inbetween based on the confidencce level","Represents a quantitative reputation score of the sender's domain based on historical behavior, known associations, and external threat intelligence. Low scores may suggest spam or malicious activity sources."
sender_spoof_detected,bool,"1(Spoofed domain), 0(non-spoofed domain)",Determines if the senderÕs address appears to impersonate another trusted domain using techniques like domain similarity or visual homographs. Useful in detecting phishing and BEC attempts.
sender_temp_email_likelihood,float,"1.0(temporary email),0.0(not-temporary email), any value inbeteen  (suspicious) based on the confidence level ","Estimates the likelihood that the sender is using a disposable or temporary email address, which is often associated with spam campaigns, fraud, or low-reputation activity."
dmarc_enforced,bool,"1(enforced), 0(not enforced)","Indicates whether the DMARC policy published by the domain owner is enforced, ensuring that messages failing SPF/DKIM checks are rejected or quarantined. A strong indicator of sender authenticity."
packer_detected,bool,"1(obfuscated attachment), 0(non-obfuscated attachment)",Flags whether a known executable packer or obfuscator is used in the attachment. Obfuscators hide malicious intent and are a common feature in malware to bypass detection.
any_file_hash_malicious,bool,"1(malicious), 0(non-malicious)","True if the cryptographic hash (e.g., SHA-256) of any attachment matches a known malware sample in global or internal threat intelligence databases. Strong indicator of known threats."
max_metadata_suspicious_score,float,Maximum metadata score across all attachment; 1- Most suspecious 0- Least suspecious,"Reflects the highest suspicious score derived from file metadata analysis (e.g., authorship anomalies, unusual timestamps). Helps detect files that may not be overtly malicious but exhibit risky traits."
malicious_attachment_count,int,"X (Number of malicious file marked as malicious), 0 (no malicious file found across)",Indicates the total number of attachments in an email that have been positively identified as malicious through sandbox or static detection. A critical risk signal.
has_executable_attachment,bool,"1(executable), 0(not-executable)","True if the email contains executable file attachments (e.g., .exe, .js, .vbs). These files can run code on the userÕs system and are a high-risk vector for malware."
unscannable_attachment_present,bool,"1(Unscannable files), 0(Scannable files) ","Flags if one or more attachments could not be scanned due to encryption, corruption, or unsupported format. Such files evade analysis and can conceal malicious content."
total_components_detected_malicious,int,"X (Sum of all malicious components), 0(Zero malicious component found)","Represents the total count of file components extracted (e.g., embedded files, scripts) that were identified as malicious using static or behavioral analysis. Key signal in threat scoring."
total_yara_match_count,int,"X (Total number of yara rules hit), 0 (Zero yara hits)","Number of YARA rules that matched against the attachmentÕs content. YARA rules are pattern-based signatures for identifying malware families, suspicious characteristics, and threat behaviors."
total_ioc_count,int,"X (Total number of ioc hits), 0 (zero ioc found)","Counts how many indicators of compromise (IOCs) such as malicious domains, IPs, or hashes were found in files. Used to correlate with known campaigns or threat actors."
max_behavioral_sandbox_score,float,"X (Maximum threat score from execution out of all attachments)
1- worst severity score
0- best score
anything inbetween","Highest severity score from behavioral sandboxing engines. Measures runtime behaviors like code injection, file writes, or registry edits that indicate malicious activity."
