sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,Analysis_of_the_qrcode_if_present,classification
0,0.12,0,0.95,0,0,0,0.35,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.45,0.0,NULL,1,0,0.15,0,1,0.18,0,0.9,0.8,0.08,0,24,0,0.92,0,0.35,1,gift_card_request,0.95,1,1,1,0.98,0.15,0,fail,none,fail,0,TLS 1.0,22,1,4,0,0,0.12,expired,0.32,0.48,0,1,2,Spam
0,0.08,0,0.92,0,0,0,0.42,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.52,0.0,NULL,0,0,0.12,0,1,0.15,0,0.85,0.75,0.1,0,18,0,0.88,0,0.28,1,invoice_payment,0.92,1,1,1,0.95,0.18,0,fail,fail,fail,0,SSL 3.0,16,1,3,0,0,0.15,self_signed,0.28,0.42,0,1,2,Spam
0,0.15,0,0.88,0,0,0,0.28,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.38,0.0,NULL,1,0,0.18,0,0,0.22,0,0.82,0.72,0.12,0,15,0,0.85,1,0.32,1,urgent_callback,0.89,1,1,1,0.92,0.22,0,softfail,none,softfail,0,TLS 1.1,13,1,2,0,0,0.18,invalid_chain,0.25,0.38,0,1,1,Spam
0,0.11,0,0.96,0,0,0,0.48,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.55,0.0,NULL,1,0,0.09,0,1,0.11,0,0.92,0.85,0.05,0,28,0,0.95,0,0.42,1,gift_card_request,0.98,1,1,1,0.99,0.08,0,fail,none,fail,0,TLS 1.0,25,1,5,0,0,0.08,expired,0.38,0.52,0,1,2,Spam
0,0.13,0,0.91,0,0,0,0.38,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.48,0.0,NULL,0,0,0.14,0,1,0.17,0,0.88,0.78,0.09,0,21,0,0.91,1,0.35,1,invoice_payment,0.94,1,1,1,0.96,0.12,0,fail,fail,fail,0,SSL 3.0,19,1,4,0,0,0.11,self_signed,0.31,0.45,0,1,2,Spam
0,0.09,0,0.94,0,0,0,0.45,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.51,0.0,NULL,1,0,0.11,0,0,0.13,0,0.91,0.82,0.07,0,18,0,0.93,0,0.38,1,urgent_callback,0.96,1,1,1,0.97,0.10,0,softfail,none,softfail,0,TLS 1.1,16,1,3,0,0,0.09,invalid_chain,0.35,0.48,0,1,1,Spam
0,0.14,0,0.89,0,0,0,0.41,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,2,0.49,0.0,NULL,0,0,0.16,0,0,0.19,0,0.86,0.75,0.11,0,25,0,0.89,0,0.31,1,executive_request,0.91,1,1,1,0.94,0.14,0,fail,fail,none,0,TLS 1.2,23,1,4,0,0,0.13,mismatch,0.28,0.42,0,1,2,Spam
0,0.10,0,0.93,0,0,0,0.44,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.53,0.0,NULL,1,0,0.12,0,1,0.14,0,0.90,0.80,0.08,0,30,0,0.92,1,0.40,1,link_click,0.95,1,1,1,0.98,0.09,0,fail,none,fail,0,TLS 1.0,27,1,6,0,0,0.10,expired,0.36,0.50,0,1,2,Spam
0,0.12,0,0.90,0,0,0,0.39,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.47,0.0,NULL,0,0,0.15,0,0,0.18,0,0.87,0.76,0.10,0,20,0,0.90,0,0.33,1,meeting_request,0.92,1,1,1,0.95,0.13,0,softfail,fail,softfail,0,SSL 3.0,18,1,3,0,0,0.12,self_signed,0.30,0.44,0,1,1,Spam
0,0.35,0,0.65,1,0,0,0.25,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.35,0.0,NULL,0,0,0.38,0,0,0.42,0,0.55,0.48,0.32,0,12,0,0.72,0,0.18,1,gift_card_request,0.68,0,1,1,0.75,0.32,0,pass,pass,pass,1,TLS 1.3,10,0,1,0,0,0.35,valid,0.15,0.22,0,1,1,Spam
