sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,Analysis_of_the_qrcode_if_present,classification
0,0.45,0,0.05,1,0,0,0.02,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.08,0.0,NULL,0,0,0.6,0,0,0.7,0,0.2,0.15,0.8,0,3,0,0.4,0,0.0,0,none,0.55,0,1,1,0.3,0.9,0,pass,pass,pass,1,TLS 1.3,2,0,0,0,0,0.8,valid,0.0,0.05,0,1,2,Spam
0,0.4,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.12,0.0,NULL,1,0,0.55,0,1,0.6,0,0.3,0.2,0.7,0,1,0,0.3,0,0.1,1,none,0.52,1,0,1,0.25,0.8,0,softfail,none,softfail,1,TLS 1.2,1,0,0,0,0,0.9,valid,0.05,0.08,0,1,2,Spam
0,0.5,0,0.0,1,0,0,0.01,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.05,0.0,NULL,0,0,0.8,0,0,0.8,0,0.1,0.1,0.9,0,2,0,0.2,0,0.05,0,none,0.51,0,1,0,0.2,0.95,0,pass,pass,pass,1,TLS 1.3,1,0,0,0,0,0.95,valid,0.0,0.02,0,1,2,Spam
0,0.35,0,0.15,0,0,0,0.08,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,2,0.15,0.0,NULL,0,0,0.5,0,1,0.5,0,0.4,0.3,0.6,0,4,0,0.6,1,0.0,1,none,0.58,1,1,1,0.4,0.7,0,neutral,fail,neutral,1,TLS 1.2,3,1,1,0,0,0.6,valid,0.1,0.12,0,1,2,Spam
0,0.48,0,0.02,1,0,0,0.03,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.06,0.0,NULL,0,0,0.75,0,0,0.8,0,0.15,0.12,0.85,0,5,0,0.35,0,0.02,0,none,0.53,0,1,1,0.28,0.85,0,pass,none,pass,1,TLS 1.3,4,0,0,0,0,0.85,valid,0.02,0.04,0,1,2,Spam
0,0.42,0,0.08,0,0,0,0.06,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.11,0.0,NULL,1,0,0.52,0,1,0.55,0,0.32,0.25,0.68,0,6,0,0.45,0,0.08,1,none,0.56,1,1,1,0.35,0.75,0,fail,none,fail,0,TLS 1.2,5,0,0,0,0,0.7,expired,0.08,0.1,0,1,2,Spam
0,0.46,0,0.04,1,0,0,0.04,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.09,0.0,NULL,0,0,0.7,0,0,0.75,0,0.2,0.18,0.8,0,3,0,0.25,0,0.04,0,none,0.54,0,0,1,0.32,0.88,0,pass,pass,pass,1,TLS 1.3,2,0,0,0,0,0.88,valid,0.01,0.06,1,1,2,Spam
0,0.38,0,0.12,0,0,0,0.07,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,3,0.14,0.0,NULL,0,0,0.48,0,1,0.52,0,0.38,0.28,0.62,0,7,0,0.55,0,0.12,1,none,0.59,1,1,0,0.38,0.65,0,softfail,fail,softfail,1,TLS 1.1,6,1,1,0,0,0.55,mismatch,0.12,0.15,0,1,2,Spam
0,0.52,0,0.01,1,0,0,0.02,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.04,0.0,NULL,0,0,0.85,0,0,0.9,0,0.1,0.08,0.92,0,1,0,0.15,0,0.01,0,none,0.505,0,1,1,0.18,0.92,0,pass,pass,pass,1,TLS 1.3,1,0,0,0,0,0.95,valid,0.0,0.01,0,1,2,Spam
0,0.44,0,0.06,0,0,0,0.05,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,2,0.1,0.0,NULL,1,0,0.58,0,0,0.62,0,0.28,0.22,0.72,0,4,0,0.4,1,0.06,0,none,0.57,0,1,1,0.33,0.8,0,neutral,none,neutral,1,TLS 1.2,3,0,0,0,0,0.75,valid,0.06,0.09,0,1,2,Spam
