sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,Analysis_of_the_qrcode_if_present,classification
0,0.16,0,0.292,0,0,0,0.135,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,3,0.34,0.0,NULL,1,0,0.28,1,1,0.49,1,0.92,0.82,0.26,0,3,0,0.93,0,0.14,1,invoice_verification,0.92,1,1,1,0.7,0.48,0,fail,pass,pass,1,TLS 1.2,8,0,2,1,0,0.5,revoked,0.12,0.38,0,1,2,Spam
0,0.14,0,0.234,1,0,0,0.083,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.07,0.0,NULL,0,1,0.5,0,1,0.19,0,0.16,0.89,0.36,1,5,0,0.51,0,0.01,1,meeting_request,0.97,1,0,1,0.86,0.26,1,permerror,none,temperror,0,TLS 1.3,19,0,0,1,1,0.56,self_signed,0.06,0.22,0,0,2,Spam
0,0.49,0,0.499,1,0,0,0.193,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,3,0.19,0.0,NULL,0,0,0.74,0,1,0.63,0,0.17,0.83,0.19,1,11,1,0.6,0,0.21,0,executive_request,0.66,1,1,1,0.96,0.57,0,softfail,neutral,none,0,TLS 1.2,2,0,2,0,0,0.39,invalid_chain,0.23,0.3,0,0,1,Spam
0,0.49,1,0.426,0,0,0,0.013,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0.0,0,3,0.37,0.0,NULL,0,1,0.84,0,0,0.57,0,0.83,0.9,0.06,0,21,0,0.41,0,0.25,1,executive_request,0.551,0,0,1,0.84,0.46,0,fail,neutral,temperror,0,TLS 1.0,15,0,0,0,0,0.68,invalid_chain,0.34,0.1,1,1,1,Spam
0,0.45,0,0.163,1,0,0,0.235,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0.0,0,2,0.48,0.0,NULL,0,1,0.12,0,1,0.62,0,0.85,0.75,0.41,0,13,0,0.29,1,0.08,1,invoice_payment,0.78,1,1,1,0.77,0.35,1,pass,neutral,pass,0,TLS 1.3,5,0,3,0,0,0.14,expired,0.13,0.49,0,0,2,Spam
0,0.46,0,0.208,0,0,0,0.046,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.3,0.0,NULL,1,0,0.49,0,1,0.11,1,0.76,0.73,0.35,0,1,1,0.71,0,0.07,1,gift_card_request,0.59,0,0,1,0.77,0.6,0,neutral,policy,fail,0,SSL 3.0,4,0,2,0,0,0.15,self_signed,0.13,0.42,0,1,1,Spam
0,0.5,0,0.088,1,0,0,0.235,0,0,1,0,2,0,0.0,0.0,0,0,0,0,0.0,0,2,0.07,0.0,NULL,0,1,0.42,1,0,0.48,0,0.86,0.78,0.19,0,9,0,0.29,0,0.29,1,link_click,0.75,0,1,0,0.97,0.69,0,permerror,fail,permerror,0,TLS 1.0,2,0,1,0,0,0.18,self_signed,0.32,0.09,1,1,1,Spam
0,0.19,1,0.404,0,0,0,0.297,0,0,0,0,2,1,0.0,0.0,0,0,0,0,0.0,0,1,0.17,0.0,NULL,0,1,0.38,0,0,0.67,0,0.8,0.82,0.34,0,16,0,0.31,0,0.19,1,invoice_payment,0.507,0,1,1,0.8,0.74,0,none,fail,permerror,1,TLS 1.0,5,0,1,0,0,0.37,invalid_chain,0.19,0.2,0,0,1,Spam
0,0.31,0,0.417,1,0,0,0.263,0,0,0,0,2,0,0.0,0.0,0,0,0,0,0.0,0,1,0.41,0.0,NULL,0,0,0.4,1,1,0.66,1,0.71,0.62,0.1,1,1,0,0.72,1,0.28,1,meeting_request,0.545,0,0,0,0.84,0.5,1,pass,temperror,fail,0,TLS 1.2,12,0,2,0,0,0.1,self_signed,0.11,0.21,1,0,2,Spam
0,0.36,1,0.2,0,0,0,0.263,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,3,0.48,0.0,NULL,1,1,0.19,1,1,0.67,1,0.91,0.65,0.43,0,20,1,0.27,0,0.1,1,none,0.74,0,1,1,0.79,0.58,0,neutral,permerror,pass,0,SSL 3.0,10,0,0,0,0,0.25,self_signed,0.11,0.05,0,0,1,Spam
