sender_known_malicious,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_count,has_executable_attachment,unscannable_attachment_present,total_components_detected_malicious,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_count,dns_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing_keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,Analysis_of_the_qrcode_if_present,classification
0,0.15,0,0.4,0,0,0,0.1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.15,0.0,NULL,1,0,0.2,0,1,0.3,0,0.5,0.4,0.3,0,8,0,0.3,0,0.1,1,gift_card_request,0.85,1,1,1,0.95,0.4,0,fail,none,fail,0,TLS 1.1,6,1,1,0,0,0.35,expired,0.05,0.12,0,1,2,Spam
0,0.18,0,0.35,0,0,0,0.08,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.12,0.0,NULL,0,0,0.25,0,1,0.4,0,0.4,0.3,0.4,0,5,0,0.2,1,0.08,1,invoice_payment,0.82,1,1,1,0.88,0.5,0,none,temperror,none,0,TLS 1.0,4,1,1,0,0,0.4,mismatch,0.08,0.15,0,1,2,Spam
0,0.22,0,0.28,0,0,0,0.06,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.1,0.0,NULL,0,0,0.3,0,1,0.45,0,0.35,0.25,0.5,0,7,0,0.25,1,0.06,1,invoice_verification,0.8,1,1,1,0.85,0.65,0,neutral,none,neutral,1,TLS 1.2,5,1,1,0,0,0.45,invalid_chain,0.06,0.11,0,1,2,Spam
0,0.28,0,0.25,0,0,0,0.05,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.08,0.0,NULL,1,0,0.35,0,0,0.5,0,0.3,0.2,0.6,0,3,0,0.15,1,0.05,1,urgent_callback,0.78,1,1,1,0.78,0.8,0,pass,fail,softfail,1,TLS 1.3,2,0,0,0,0,0.6,valid,0.05,0.09,0,1,2,Spam
0,0.16,0,0.38,0,0,0,0.12,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,2,0.18,0.0,NULL,0,0,0.22,0,1,0.35,0,0.45,0.35,0.35,0,9,0,0.4,0,0.12,1,executive_request,0.86,1,1,1,0.89,0.45,0,fail,none,fail,0,TLS 1.0,7,1,2,0,0,0.35,self_signed,0.12,0.2,0,1,2,Spam
0,0.11,0,0.44,0,0,0,0.15,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,3,0.22,0.0,NULL,1,0,0.18,0,1,0.25,0,0.5,0.4,0.3,0,12,0,0.5,0,0.15,1,link_click,0.9,1,1,1,0.92,0.3,0,softfail,none,softfail,1,TLS 1.1,10,1,3,0,0,0.25,expired,0.15,0.25,0,1,2,Spam
0,0.14,0,0.42,0,0,0,0.11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,2,0.16,0.0,NULL,0,0,0.2,0,0,0.3,0,0.48,0.38,0.32,0,6,0,0.35,0,0.11,1,meeting_request,0.83,1,1,1,0.87,0.42,0,fail,fail,fail,0,TLS 1.2,4,1,2,0,0,0.3,mismatch,0.11,0.18,0,1,2,Spam
0,0.13,0,0.43,0,0,0,0.14,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,3,0.2,0.0,NULL,1,0,0.19,0,1,0.28,0,0.47,0.37,0.33,0,11,0,0.45,0,0.14,1,gift_card_request,0.88,1,1,1,0.9,0.35,0,softfail,none,softfail,1,TLS 1.1,9,1,4,0,0,0.28,invalid_chain,0.14,0.22,0,1,2,Spam
0,0.23,0,0.31,0,0,0,0.07,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,1,0.09,0.0,NULL,0,0,0.32,0,0,0.42,0,0.32,0.22,0.48,0,4,0,0.18,1,0.07,1,invoice_payment,0.81,1,1,1,0.83,0.72,0,neutral,fail,neutral,1,TLS 1.2,3,1,1,0,0,0.42,mismatch,0.07,0.12,0,1,2,Spam
0,0.15,0,0.41,0,0,0,0.13,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,2,0.19,0.0,NULL,1,0,0.21,0,1,0.32,0,0.43,0.33,0.37,0,8,0,0.42,0,0.13,1,invoice_verification,0.84,1,1,1,0.86,0.48,0,fail,temperror,fail,0,SSL 3.0,6,1,2,0,0,0.32,no_ssl,0.13,0.21,0,1,2,Spam
